transformer_num_layer,transformer_hidden_size,transformer_nhead,transformer_dropout,model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
1,128,4,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9676.829973444796,58.71125569451257
1,128,4,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,10020.394025457372,59.14540505644517
1,128,8,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,8822.612279366338,55.20212923238527
1,128,8,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,8980.861229217244,55.492098452298166
1,128,8,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9266.061616669824,57.26125911998389
1,128,8,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9879.741729633248,58.339679045222105
2,16,1,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,8664.98585347449,52.86262748946148
2,16,1,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,8828.800994830603,54.28775253088729
2,16,1,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9037.396933364793,54.91923973406377
2,16,1,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9369.193161947553,56.83103721492835
2,16,2,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,8630.79939561977,53.05213350512917
2,16,2,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,8840.564161398053,54.327650013168295
2,16,2,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9144.129090871344,55.63780536334541
2,16,2,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9369.136234349387,56.4409782180771
2,16,4,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,8616.604335312717,53.47458495285284
2,16,4,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9212.521253913625,56.20378874752157
2,16,4,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9011.618365807157,54.900800978192365
2,16,4,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9447.853061347838,56.51644925555138
2,16,8,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,8822.498727635884,54.96745235029534
2,16,8,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9214.07360992644,56.3539243483245
2,16,8,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9395.5174460863,57.365560543414766
2,16,8,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9468.904034398362,56.38410234638883
2,32,1,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9262.124668350993,56.26212605042397
2,32,1,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,10002.452852579228,60.28289237807813
2,32,1,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9817.92397811165,58.97368097364038
2,32,1,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,10959.999841669978,64.85937783448252
2,32,2,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9172.515398516278,56.29746821046199
2,32,2,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9185.203214351684,56.64842153440936
2,32,2,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9650.325094221886,59.32117339523985
2,32,2,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9930.251822929602,59.80935221418843
2,32,4,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,8916.203821089404,55.22041389944854
2,32,4,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9098.375998682135,55.60738298535008
2,32,4,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9726.449434610477,59.05685617017528
2,32,4,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9793.91628930698,58.89832835867907
2,32,8,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,8923.316427593509,55.32074498091244
2,32,8,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9046.439703862708,55.590058153620994
2,32,8,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9357.963818485496,57.285850434657306
2,32,8,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9549.333270580186,58.01430956484727
