model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
LSTM,0.0005,2,256_128,16,30,32,8477.172909869083,52.433835861374824
GRU,0.0005,2,256_128,32,30,32,8318.600666606259,51.735991759400974
LSTM,0.0005,2,256_128,32,30,32,8393.866702371768,52.2008955307406
GRU,0.0005,2,256_128,64,30,32,8343.730585460182,51.45182433795026
LSTM,0.0005,2,256_128,64,30,32,8333.516208793448,51.457222599398655
GRU,0.0005,2,256_128,128,30,32,8292.049970051177,51.22480416523083
LSTM,0.0005,2,256_128,128,30,32,8331.128104025152,51.5348235871762
GRU,0.0005,3,512_256_128,16,30,32,8535.640382072073,52.46087423105162
LSTM,0.0005,3,512_256_128,16,30,32,8420.182744278387,52.30017755453978
GRU,0.0005,3,512_256_128,32,30,32,8383.71108583738,51.21693939789059
LSTM,0.0005,3,512_256_128,32,30,32,8342.621486907115,51.00716793657305
GRU,0.0005,3,512_256_128,64,30,32,8377.733630839195,51.596484313556566
LSTM,0.0005,3,512_256_128,64,30,32,8299.395555738376,51.25651888373324
GRU,0.0005,3,512_256_128,128,30,32,8413.972275559432,52.600352169496425
LSTM,0.0005,3,512_256_128,128,30,32,8471.94953933919,51.96360254821434
GRU,0.0005,3,256_128_64,16,30,32,8539.018988397282,52.69773552172847
LSTM,0.0005,3,256_128_64,16,30,32,8658.463751447478,53.91237970507929
GRU,0.0005,3,256_128_64,32,30,32,8395.775045927348,52.2237863256802
LSTM,0.0005,3,256_128_64,32,30,32,8460.521970812946,51.60758404523634
GRU,0.0005,3,256_128_64,64,30,32,8351.768652382556,51.90953406976843
LSTM,0.0005,3,256_128_64,64,30,32,8531.37021478554,52.188642223693414
GRU,0.0005,3,256_128_64,128,30,32,8529.38493094017,53.2380996410022
LSTM,0.0005,3,256_128_64,128,30,32,8412.805803231873,51.61043304376661
GRU,0.0005,3,128_64_32,16,30,32,8581.12463327973,53.140007293011955
LSTM,0.0005,3,128_64_32,16,30,32,8651.672430707331,54.17817378931862
GRU,0.0005,3,128_64_32,32,30,32,8362.4243556492,51.75897261505056
LSTM,0.0005,3,128_64_32,32,30,32,8562.118187637374,52.826455465542004
GRU,0.0005,3,128_64_32,64,30,32,8468.349932632127,52.008852181073664
LSTM,0.0005,3,128_64_32,64,30,32,8394.373662635202,51.744469974729284
GRU,0.0005,3,128_64_32,128,30,32,8518.283605741171,51.99667850390547
LSTM,0.0005,3,128_64_32,128,30,32,8599.060660820227,53.147305233376386
GRU,0.0005,3,64_32_16,16,30,32,8945.490760880532,55.5088262495201
LSTM,0.0005,3,64_32_16,16,30,32,8912.143292404893,55.87205037895722
