model_type,batch_size,sequence_length,model_hidden_size,learning_rate,num_layers,fc_hidden_sizes,val_loss,val_mae
EncoderDecoder,16,30,4,0.0005,1,64,23051.466750113315,98.58319059296534
EncoderDecoder,16,30,16,0.0005,1,64,8713.80642550427,52.29781618159341
EncoderDecoder,16,30,32,0.0005,1,64,8427.803086821801,51.86863184670627
EncoderDecoder,16,30,4,0.005,1,64,9090.197845271015,54.97706068981183
EncoderDecoder,16,30,16,0.005,1,64,8778.520428532283,53.376279588165374
EncoderDecoder,16,30,32,0.005,1,64,8544.965815510212,52.41801953461322
EncoderDecoder,16,30,4,0.1,1,64,11165.875950343941,63.886510711433445
EncoderDecoder,16,30,16,0.1,1,64,10720.988506326992,63.93686383411153
EncoderDecoder,16,30,32,0.1,1,64,10259.23812968684,61.35954573674426
EncoderDecoder,16,30,4,0.0005,5,64,23051.164176930306,98.58819983502762
EncoderDecoder,16,30,16,0.0005,5,64,23045.460635683397,98.68969070249634
EncoderDecoder,16,30,32,0.0005,5,64,23043.44694576343,98.72706928542453
EncoderDecoder,16,30,4,0.005,5,64,23033.817502724207,98.9263662496792
EncoderDecoder,16,30,16,0.005,5,64,8772.2835926804,53.77609097825446
EncoderDecoder,16,30,32,0.005,5,64,23025.13202055884,99.18918634893815
EncoderDecoder,16,30,4,0.1,5,64,23016.010020776936,99.63927327926699
EncoderDecoder,16,30,16,0.1,5,64,23017.251075324733,100.01513561438516
EncoderDecoder,16,30,32,0.1,5,64,23023.121966602455,99.69256845331877
EncoderDecoder,16,30,4,0.0005,10,64,23050.9840415562,98.59103751664793
EncoderDecoder,16,30,16,0.0005,10,64,23047.165806604145,98.65799369344617
EncoderDecoder,16,30,32,0.0005,10,64,23044.40799327951,98.7089910545478
EncoderDecoder,16,30,4,0.005,10,64,23042.57621014779,98.74243789006877
EncoderDecoder,16,30,16,0.005,10,64,23034.806722991536,98.90820322605828
EncoderDecoder,16,30,32,0.005,10,64,23023.200494218625,99.23206965618714
EncoderDecoder,16,30,4,0.1,10,64,23017.346840345905,99.54793145027972
EncoderDecoder,16,30,16,0.1,10,64,23015.54516562756,100.00793409978517
EncoderDecoder,16,30,32,0.1,10,64,23019.021115423362,99.94010586121183
